Fighter1,Fighter2,Winner?,Fight Method,Time,Time Format,Referee,Finish Details or Judges Scorecard,Bout,Event Name,Location,Date,Rounds,Total Strike Landed F1R1,Total Strike Missed F1R1,Non-Sig. Strike Landed F1R1,Non-Sig. Strike Missed F1R1,Sig. Strike Landed F1R1,Sig. Strike Missed F1R1,Head F1R1,Body F1R1,Leg F1R1,Distance F1R1,Clinch F1R1,Ground F1R1,Knockdowns F1R1,TD Completed F1R1,TD Missed F1R1,Sub. Att F1R1,Rev. F1R1,Ctrl Time (Minutes) F1R1,Winner?,Total Strike Landed F2R1,Total Strike Missed F2R1,Non-Sig. Strike Landed F2R1,Non-Sig. Strike Missed F2R1,Sig. Strike Landed F2R1,Sig. Strike Missed F2R1,Head F2R1,Body F2R1,Leg F2R1,Distance F2R1,Clinch F2R1,Ground F2R1,Knockdowns F2R1,TD Completed F2R1,TD Missed F2R1,Sub. Att F2R1,Rev. F2R1,Ctrl Time (Minutes) F2R1,Total Strike Landed F1R2,Total Strike Missed F1R2,Non-Sig. Strike Landed F1R2,Non-Sig. Strike Missed F1R2,Sig. Strike Landed F1R2,Sig. Strike Missed F1R2,Head F1R2,Body F1R2,Leg F1R2,Distance F1R2,Clinch F1R2,Ground F1R2,Knockdowns F1R2,TD Completed F1R2,TD Missed F1R2,Sub. Att F1R2,Rev. F1R2,Ctrl Time (Minutes) F1R2,Total Strike Landed F2R2,Total Strike Missed F2R2,Non-Sig. Strike Landed F2R2,Non-Sig. Strike Missed F2R2,Sig. Strike Landed F2R2,Sig. Strike Missed F2R2,Head F2R2,Body F2R2,Leg F2R2,Distance F2R2,Clinch F2R2,Ground F2R2,Knockdowns F2R2,TD Completed F2R2,TD Missed F2R2,Sub. Att F2R2,Rev. F2R2,Ctrl Time (Minutes) F2R2,Total Strike Landed F1R3,Total Strike Missed F1R3,Non-Sig. Strike Landed F1R3,Non-Sig. Strike Missed F1R3,Sig. Strike Landed F1R3,Sig. Strike Missed F1R3,Head F1R3,Body F1R3,Leg F1R3,Distance F1R3,Clinch F1R3,Ground F1R3,Knockdowns F1R3,TD Completed F1R3,TD Missed F1R3,Sub. Att F1R3,Rev. F1R3,Ctrl Time (Minutes) F1R3,Total Strike Landed F2R3,Total Strike Missed F2R3,Non-Sig. Strike Landed F2R3,Non-Sig. Strike Missed F2R3,Sig. Strike Landed F2R3,Sig. Strike Missed F2R3,Head F2R3,Body F2R3,Leg F2R3,Distance F2R3,Clinch F2R3,Ground F2R3,Knockdowns F2R3,TD Completed F2R3,TD Missed F2R3,Sub. Att F2R3,Rev. F2R3,Ctrl Time (Minutes) F2R3,Total Strike Landed F1R4,Total Strike Missed F1R4,Non-Sig. Strike Landed F1R4,Non-Sig. Strike Missed F1R4,Sig. Strike Landed F1R4,Sig. Strike Missed F1R4,Head F1R4,Body F1R4,Leg F1R4,Distance F1R4,Clinch F1R4,Ground F1R4,Knockdowns F1R4,TD Completed F1R4,TD Missed F1R4,Sub. Att F1R4,Rev. F1R4,Ctrl Time (Minutes) F1R4,Total Strike Landed F2R4,Total Strike Missed F2R4,Non-Sig. Strike Landed F2R4,Non-Sig. Strike Missed F2R4,Sig. Strike Landed F2R4,Sig. Strike Missed F2R4,Head F2R4,Body F2R4,Leg F2R4,Distance F2R4,Clinch F2R4,Ground F2R4,Knockdowns F2R4,TD Completed F2R4,TD Missed F2R4,Sub. Att F2R4,Rev. F2R4,Ctrl Time (Minutes) F2R4,Total Strike Landed F1R5,Total Strike Missed F1R5,Non-Sig. Strike Landed F1R5,Non-Sig. Strike Missed F1R5,Sig. Strike Landed F1R5,Sig. Strike Missed F1R5,Head F1R5,Body F1R5,Leg F1R5,Distance F1R5,Clinch F1R5,Ground F1R5,Knockdowns F1R5,TD Completed F1R5,TD Missed F1R5,Sub. Att F1R5,Rev. F1R5,Ctrl Time (Minutes) F1R5,Total Strike Landed F2R5,Total Strike Missed F2R5,Non-Sig. Strike Landed F2R5,Non-Sig. Strike Missed F2R5,Sig. Strike Landed F2R5,Sig. Strike Missed F2R5,Head F2R5,Body F2R5,Leg F2R5,Distance F2R5,Clinch F2R5,Ground F2R5,Knockdowns F2R5,TD Completed F2R5,TD Missed F2R5,Sub. Att F2R5,Rev. F2R5,Ctrl Time (Minutes) F2R5
Germaine de Randamie,Aspen Ladd,1,KO/TKO,0:16,5 Rnd (5-5-5-5-5),Herb Dean,Punch to Head At Distance,Women's Bantamweight Bout,UFC Fight Night: De Randamie vs. Ladd,"Sacramento, California, USA",7/13/19,1,4,1,0,0,4,1,3,1,0,3,0,1,1,0,0,0,0,0.016666667,1,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urijah Faber,Ricky Simon,1,KO/TKO,0:46,3 Rnd (5-5-5),Mike Beltran,Punch to Head At Distance,Bantamweight Bout,UFC Fight Night: De Randamie vs. Ladd,"Sacramento, California, USA",7/13/19,1,11,4,0,0,11,4,9,1,1,3,0,8,1,0,0,0,0,0.133333333,1,4,4,0,0,4,4,2,0,2,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Emmett,Mirsad Bektic,1,KO/TKO,4:25,3 Rnd (5-5-5),Jason Herzog,Punches to Head On Ground,Featherweight Bout,UFC Fight Night: De Randamie vs. Ladd,"Sacramento, California, USA",7/13/19,1,33,27,6,2,27,25,22,3,2,12,0,15,1,0,0,0,0,0.483333333,1,10,55,0,0,10,55,8,1,1,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karl Roberson,Wellington Turman,1,Decision - Split,5:00,3 Rnd (5-5-5),Blake Grice,Derek Cleary 29 - 28. Wade Vierra 28 - 29. Mike Bell 28 - 29.,Middleweight Bout,UFC Fight Night: De Randamie vs. Ladd,"Sacramento, California, USA",7/13/19,3,41,17,18,2,23,15,17,4,2,7,0,16,0,0,0,0,1,3.233333333,1,11,7,2,0,9,7,8,1,0,6,0,3,0,1,3,1,0,0.95,25,11,8,2,17,9,13,4,0,5,7,5,0,0,0,0,1,1.883333333,12,15,4,2,8,13,5,3,0,0,5,3,0,2,0,0,0,2.216666667,13,6,3,0,10,6,5,3,2,3,1,6,0,0,0,0,1,0.666666667,15,7,7,1,8,6,7,1,0,2,0,6,0,1,0,1,0,3.716666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Vettori,Cezar Ferreira,1,Decision - Unanimous,5:00,3 Rnd (5-5-5),Herb Dean,Mike Bell 27 - 30. Ron McCarthy 27 - 30. Derek Cleary 27 - 30.,Middleweight Bout,UFC Fight Night: De Randamie vs. Ladd,"Sacramento, California, USA",7/13/19,3,39,23,16,0,23,23,21,2,0,13,4,6,0,1,0,0,0,0.816666667,1,17,13,0,0,17,13,2,5,10,16,1,0,0,0,0,0,0,0,36,20,12,0,24,20,22,2,0,14,8,2,0,1,1,0,0,1.633333333,14,14,2,0,12,14,6,2,4,10,2,0,0,0,1,0,0,0,31,27,0,0,31,27,26,3,2,23,8,0,0,0,1,0,0,0.116666667,10,22,0,0,10,22,9,0,1,7,3,0,0,0,4,0,0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Rodriguez,John Allan,1,Overturned,5:00,3 Rnd (5-5-5),Mike Beltran,Failed Drug Test by Allan Wade Vierra 28 - 29. Marcos Rosales 28 - 29. Ron McCarthy 27 - 30.,Light Heavyweight Bout,UFC Fight Night: De Randamie vs. Ladd,"Sacramento, California, USA",7/13/19,3,29,33,0,0,29,33,15,9,5,29,0,0,0,0,0,0,0,0.333333333,1,19,20,2,0,17,20,9,2,6,15,2,0,0,1,0,1,0,0.95,36,21,21,0,15,21,6,5,4,12,2,1,0,0,0,0,0,2.3,17,10,4,0,13,10,10,2,1,4,1,8,0,1,2,2,0,0.966666667,30,37,4,0,26,37,8,8,10,26,0,0,0,0,0,0,0,0,39,49,14,6,25,43,19,6,0,12,6,7,0,2,0,0,0,1.916666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Fili,Sheymon Moraes,1,KO/TKO,3:07,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance,Featherweight Bout,UFC Fight Night: De Randamie vs. Ladd,"Sacramento, California, USA",7/13/19,1,20,38,1,2,19,36,16,2,1,15,0,4,1,0,0,0,0,0.083333333,1,11,11,0,0,11,11,2,3,6,11,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julianna Pena,Nicco Montano,1,Decision - Unanimous,5:00,3 Rnd (5-5-5),Josh Rosenthal,Mike Bell 28 - 29. Derek Cleary 28 - 29. Ron McCarthy 27 - 29.,Women's Bantamweight Bout,UFC Fight Night: De Randamie vs. Ladd,"Sacramento, California, USA",7/13/19,3,14,10,5,0,9,10,4,5,0,3,6,0,0,0,1,0,0,0,1,25,17,14,3,11,14,5,1,5,5,2,4,0,1,2,0,0,4.116666667,42,14,26,3,16,11,13,2,1,1,2,13,0,1,0,0,0,2.283333333,17,9,4,0,13,9,3,2,8,7,4,2,0,1,0,0,0,1.4,52,26,32,2,20,24,15,5,0,17,0,3,0,1,1,0,0,2.333333333,17,18,3,0,14,18,5,7,2,14,0,0,0,1,0,0,0,0.683333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darren Elkins,Ryan Hall,0,Decision - Unanimous,5:00,3 Rnd (5-5-5),Blake Grice,Wade Vierra 28 - 29. Marcos Rosales 28 - 29. Ron McCarthy 27 - 30.,Featherweight Bout,UFC Fight Night: De Randamie vs. Ladd,"Sacramento, California, USA",7/13/19,3,9,29,0,0,9,29,2,1,6,2,1,6,0,0,0,0,0,0.916666667,0,14,15,2,3,12,12,6,4,2,11,0,1,1,0,0,1,1,0.066666667,13,33,2,0,11,33,5,5,1,7,0,4,0,0,0,0,0,0.5,12,14,1,2,11,12,5,5,1,10,0,1,1,0,1,0,0,0.05,9,35,0,0,9,35,1,5,3,7,0,2,0,0,0,0,0,0.416666667,14,24,1,1,13,23,4,4,5,13,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pingyuan Liu,Jonathan Martinez,0,KO/TKO,3:54,3 Rnd (5-5-5),Josh Rosenthal,Knee to Head At Distance,Bantamweight Bout,UFC Fight Night: De Randamie vs. Ladd,"Sacramento, California, USA",7/13/19,3,15,45,0,0,15,45,8,5,2,12,3,0,0,0,0,0,0,0,0,15,32,0,0,15,32,9,4,2,15,0,0,0,0,0,0,0,0,2,32,0,0,2,32,1,0,1,2,0,0,0,0,0,0,0,0,5,20,0,0,5,20,2,2,1,5,0,0,0,0,0,0,0,0,10,46,0,0,10,46,3,4,3,10,0,0,0,0,0,0,0,0,12,29,0,0,12,29,11,1,0,11,0,1,1,0,0,0,0,0.033333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livinha Souza,Brianna Fortino,0,Decision - Unanimous,5:00,3 Rnd (5-5-5),Jason Herzog,Wade Vierra 27 - 30. Marcos Rosales 27 - 30. Mike Bell 27 - 30.,Women's Strawweight Bout,UFC Fight Night: De Randamie vs. Ladd,"Sacramento, California, USA",7/13/19,3,19,11,7,0,12,11,4,6,2,4,7,1,0,1,1,0,0,0.35,0,27,35,8,0,19,35,12,4,3,11,7,1,0,1,0,0,0,2.433333333,7,19,0,0,7,19,2,3,2,7,0,0,0,0,0,0,0,0,37,57,1,0,36,57,26,7,3,29,7,0,0,0,0,0,0,0.066666667,4,13,0,0,4,13,2,1,1,4,0,0,0,1,0,0,0,0.366666667,24,24,7,1,17,23,10,4,3,11,3,3,0,2,1,0,0,2.183333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benito Lopez,Vince Morales,1,Decision - Unanimous,5:00,3 Rnd (5-5-5),Josh Rosenthal,Wade Vierra 28 - 29. Marcos Rosales 28 - 29. Blake Grice 28 - 29.,Bantamweight Bout,UFC Fight Night: De Randamie vs. Ladd,"Sacramento, California, USA",7/13/19,3,16,21,0,0,16,21,2,3,11,16,0,0,0,0,0,0,0,0,1,19,22,3,0,16,22,13,0,3,10,0,6,1,0,0,0,0,0.483333333,17,29,0,0,17,29,0,4,13,17,0,0,0,0,0,0,0,0,16,24,0,0,16,24,11,1,4,16,0,0,0,0,0,0,0,0,21,28,0,0,21,28,4,2,15,21,0,0,0,0,0,0,0,0,32,37,0,0,32,37,22,8,2,30,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Jones,Thiago Santos,1,Decision - Split,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Mike Bell 47 - 48. Junichiro Kamijo 48 - 47. Derek Cleary 47 - 48.,UFC Light Heavyweight Title Bout,UFC 239: Jones vs. Santos,"Las Vegas, Nevada, USA",7/6/19,5,7,9,0,0,7,9,0,3,4,7,0,0,0,0,1,0,0,0,1,11,15,0,0,11,15,3,1,7,11,0,0,0,0,0,0,0,0,11,6,0,0,11,6,2,4,5,10,1,0,0,0,0,0,0,0,7,35,0,0,7,35,1,2,4,6,1,0,0,0,0,0,0,0,14,5,0,0,14,5,4,4,6,11,3,0,0,0,0,0,0,0,6,27,0,0,6,27,1,1,4,6,0,0,0,0,0,0,0,0,11,6,0,0,11,6,2,2,7,11,0,0,0,0,0,0,0,0,16,5,0,0,16,5,3,3,10,16,0,0,0,0,0,0,0,0,16,5,0,0,16,5,3,3,10,16,0,0,0,0,0,0,0,0,11,26,0,0,11,26,4,2,5,11,0,0,0,0,0,0,0,0
Amanda Nunes,Holly Holm,1,KO/TKO,4:10,5 Rnd (5-5-5-5-5),Marc Goddard,Kick to Head At Distance,UFC Women's Bantamweight Title Bout,UFC 239: Jones vs. Santos,"Las Vegas, Nevada, USA",7/6/19,1,17,19,0,1,17,18,8,6,3,11,3,3,1,0,1,0,0,0.083333333,1,14,3,3,0,11,3,3,0,8,11,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorge Masvidal,Ben Askren,1,KO/TKO,0:05,3 Rnd (5-5-5),Jason Herzog,Flying Knee Head,Welterweight Bout,UFC 239: Jones vs. Santos,"Las Vegas, Nevada, USA",7/6/19,1,3,0,0,0,3,0,3,0,0,1,0,2,1,0,0,0,0,0.033333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan Blachowicz,Luke Rockhold,1,KO/TKO,1:39,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,Light Heavyweight Bout,UFC 239: Jones vs. Santos,"Las Vegas, Nevada, USA",7/6/19,2,20,7,4,0,16,7,5,5,6,14,2,0,0,0,0,0,0,0,1,10,18,2,0,8,18,2,6,0,6,2,0,0,0,5,0,0,2.716666667,18,5,4,0,14,5,6,3,5,9,2,3,1,0,0,0,0,0.016666667,7,4,1,0,6,4,2,2,2,3,3,0,0,0,0,0,0,0.716666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Sanchez,Michael Chiesa,0,Decision - Unanimous,5:00,3 Rnd (5-5-5),Mark Smith,Derek Cleary 26 - 30. Patricia Morse-Jarman 26 - 30. Junichiro Kamijo 26 - 30.,Welterweight Bout,UFC 239: Jones vs. Santos,"Las Vegas, Nevada, USA",7/6/19,3,7,4,3,3,4,1,0,0,4,0,0,4,0,1,0,0,0,1.45,0,24,15,13,9,11,6,10,1,0,0,3,8,0,1,1,0,1,3.3,3,3,1,0,2,3,0,0,2,0,2,0,0,0,1,0,0,0.583333333,59,16,28,3,31,13,31,0,0,2,2,27,0,2,0,0,0,4.233333333,13,1,12,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0.366666667,15,3,10,2,5,1,5,0,0,2,0,3,0,2,0,0,0,4.283333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilbert Melendez,Arnold Allen,0,Decision - Unanimous,5:00,3 Rnd (5-5-5),Marc Goddard,Mike Bell 27 - 30. Sal D'amato 27 - 30. Ron McCarthy 27 - 30.,Featherweight Bout,UFC 239: Jones vs. Santos,"Las Vegas, Nevada, USA",7/6/19,3,10,32,2,0,8,32,7,0,1,7,1,0,0,0,1,0,0,0,0,37,38,0,0,37,38,22,11,4,37,0,0,0,0,0,0,0,0.233333333,9,30,0,0,9,30,6,2,1,9,0,0,0,0,0,0,0,0,39,27,0,0,39,27,27,10,2,39,0,0,0,0,0,0,0,0,8,28,2,0,6,28,6,0,0,6,0,0,0,0,1,0,0,0,26,24,0,1,26,23,13,5,8,26,0,0,0,1,1,0,0,0.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlon Vera,Nohelin Hernandez,1,Submission,3:25,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke,Bantamweight Bout,UFC 239: Jones vs. Santos,"Las Vegas, Nevada, USA",7/6/19,2,14,18,13,9,1,9,0,0,1,1,0,0,0,1,0,0,0,2.25,1,11,15,2,1,9,14,7,0,2,2,0,7,0,0,0,0,0,1.05,12,10,3,2,9,8,5,1,3,6,0,3,0,0,0,1,0,0.133333333,17,10,4,0,13,10,6,4,3,5,2,6,0,1,1,0,0,1.883333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claudia Gadelha,Randa Markos,1,Decision - Unanimous,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 27 - 30. Derek Cleary 27 - 30. Ron McCarthy 27 - 30.,Women's Strawweight Bout,UFC 239: Jones vs. Santos,"Las Vegas, Nevada, USA",7/6/19,3,12,23,0,0,12,23,11,0,1,9,3,0,0,0,0,0,0,0,1,10,24,0,0,10,24,8,1,1,5,5,0,0,0,0,0,0,0,11,21,1,0,10,21,10,0,0,10,0,0,0,0,1,0,0,0.116666667,8,28,1,0,7,28,5,1,1,6,1,0,0,0,0,0,0,0,18,23,0,0,18,23,15,1,2,18,0,0,0,0,0,0,0,0,8,32,0,0,8,32,6,1,1,6,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alejandro Perez,Song Yadong,0,KO/TKO,2:04,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,Bantamweight Bout,UFC 239: Jones vs. Santos,"Las Vegas, Nevada, USA",7/6/19,1,1,13,0,0,1,13,0,0,1,1,0,0,0,0,0,0,0,0,0,8,12,0,0,8,12,6,1,1,7,0,1,1,0,0,0,0,0.016666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edmen Shahbazyan,Jack Marshman,1,Submission,1:12,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke,Middleweight Bout,UFC 239: Jones vs. Santos,"Las Vegas, Nevada, USA",7/6/19,1,13,11,0,0,13,11,11,1,1,3,0,10,0,1,0,1,0,0.55,1,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ismail Naurdiev,Chance Rencountre,0,Decision - Unanimous,5:00,3 Rnd (5-5-5),Mark Smith,Tony Weeks 27 - 30. Dave Hagen 28 - 29. Sal D'amato 27 - 29.,Welterweight Bout,UFC 239: Jones vs. Santos,"Las Vegas, Nevada, USA",7/6/19,3,31,12,21,2,10,10,3,7,0,7,3,0,0,1,0,0,0,0.283333333,0,7,15,5,10,2,5,0,1,1,2,0,0,0,1,1,0,0,3.016666667,5,1,4,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,23,38,23,31,0,7,0,0,0,0,0,0,0,1,0,0,0,4.933333333,20,13,10,1,10,12,10,0,0,5,4,1,0,1,0,0,0,0.083333333,18,11,16,3,2,8,1,1,0,1,1,0,0,0,5,0,0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julia Avila,Pannie Kianzad,1,Decision - Unanimous,5:00,3 Rnd (5-5-5),Chris Tognoni,Junichiro Kamijo 27 - 30. Derek Cleary 26 - 30. Patricia Morse-Jarman 26 - 30.,Women's Bantamweight Bout,UFC 239: Jones vs. Santos,"Las Vegas, Nevada, USA",7/6/19,3,32,20,12,2,20,18,12,6,2,8,12,0,0,0,0,0,0,1.383333333,1,18,18,1,2,17,16,15,1,1,11,6,0,0,0,0,0,0,1.783333333,19,33,1,0,18,33,11,4,3,14,4,0,0,0,1,0,0,0.666666667,17,27,3,3,14,24,10,2,2,12,1,1,0,1,1,0,0,0.833333333,15,23,4,1,11,22,7,1,3,6,1,4,1,0,0,0,0,3.716666667,4,11,2,1,2,10,1,0,1,2,0,0,0,0,0,0,0,0.116666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francis Ngannou,Junior Dos Santos,1,KO/TKO,1:11,5 Rnd (5-5-5-5-5),Herb Dean,Punch to Head In Clinch,Heavyweight Bout,UFC Fight Night: Ngannou vs. Dos Santos,"Minneapolis, Minnesota, USA",6/29/19,1,9,10,0,0,9,10,5,1,3,5,0,4,1,0,0,0,0,0.066666667,1,4,2,0,0,4,2,1,1,2,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jussier Formiga,Joseph Benavidez,0,KO/TKO,4:47,3 Rnd (5-5-5),Jason Herzog,Punches to Head At Distance,Flyweight Bout,UFC Fight Night: Ngannou vs. Dos Santos,"Minneapolis, Minnesota, USA",6/29/19,2,7,19,0,0,7,19,7,0,0,7,0,0,0,0,1,0,0,0.3,0,35,32,14,1,21,31,10,7,4,21,0,0,0,0,0,0,0,0.833333333,8,14,0,0,8,14,8,0,0,8,0,0,0,1,1,0,0,0.133333333,37,34,8,0,29,34,17,7,5,23,3,3,1,0,0,0,0,1.216666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demian Maia,Anthony Rocco Martin,1,Decision - Majority,5:00,3 Rnd (5-5-5),Vance Swerdan,Chris Lee 28 - 29. Sal D'amato 28 - 29. Nick Palmer 28 - 28.,Welterweight Bout,UFC Fight Night: Ngannou vs. Dos Santos,"Minneapolis, Minnesota, USA",6/29/19,3,31,3,29,0,2,3,2,0,0,1,0,1,0,1,1,0,0,2.7,1,9,12,6,0,3,12,2,0,1,2,1,0,0,0,0,0,0,0.5,42,6,42,3,0,3,0,0,0,0,0,0,0,2,3,0,1,3.35,7,13,4,0,3,13,3,0,0,3,0,0,0,0,0,0,0,0.2,1,3,0,0,1,3,1,0,0,1,0,0,0,0,2,0,0,0,20,48,4,0,16,48,8,7,1,11,0,5,0,0,0,0,0,0.483333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roosevelt Roberts,Vinc Pichel,0,Decision - Unanimous,5:00,3 Rnd (5-5-5),Travis Metteer,Chris Lee 28 - 29. Derek Cleary 28 - 29. Nick Vogel 28 - 29.,Lightweight Bout,UFC Fight Night: Ngannou vs. Dos Santos,"Minneapolis, Minnesota, USA",6/29/19,3,17,26,0,0,17,26,10,4,3,13,4,0,0,1,1,0,0,1.416666667,0,22,11,4,0,18,11,3,7,8,9,9,0,0,0,1,0,0,0.783333333,13,20,3,0,10,20,8,2,0,9,1,0,0,1,0,0,0,1.033333333,29,16,8,0,21,16,8,7,6,12,3,6,0,1,1,0,1,1.6,4,10,0,0,4,10,4,0,0,4,0,0,0,0,0,0,0,0.133333333,30,14,9,0,21,14,18,2,1,5,2,14,0,2,1,1,0,3.633333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
